,grid,position,freq
0,1,1,456
1,1,2,155
2,1,3,72
3,1,4,46
4,1,5,21
5,1,6,19
6,1,7,10
7,1,8,15
8,1,9,12
9,1,10,4
10,1,11,4
11,1,12,5
12,1,13,2
13,1,14,4
14,1,15,1
15,1,16,1
16,1,18,1
17,1,21,1
18,2,1,258
19,2,2,217
20,2,3,118
21,2,4,58
22,2,5,40
23,2,6,16
24,2,7,33
25,2,8,13
26,2,9,17
27,2,10,5
28,2,11,8
29,2,12,5
30,2,13,6
31,2,14,2
32,2,15,3
33,2,16,3
34,2,17,3
35,2,18,1
36,2,19,3
37,3,1,133
38,3,2,198
39,3,3,173
40,3,4,88
41,3,5,62
42,3,6,34
43,3,7,19
44,3,8,19
45,3,9,17
46,3,10,12
47,3,11,8
48,3,12,4
49,3,13,4
50,3,14,6
51,3,15,3
52,3,16,3
53,3,17,1
54,3,18,1
55,3,20,1
56,4,1,66
57,4,2,151
58,4,3,152
59,4,4,126
60,4,5,77
61,4,6,56
62,4,7,42
63,4,8,19
64,4,9,18
65,4,10,9
66,4,11,11
67,4,12,6
68,4,13,9
69,4,14,3
70,4,15,6
71,4,16,2
72,4,17,1
73,4,18,4
74,4,19,2
75,4,31,1
76,5,1,48
77,5,2,94
78,5,3,130
79,5,4,135
80,5,5,92
81,5,6,58
82,5,7,43
83,5,8,29
84,5,9,22
85,5,10,24
86,5,11,13
87,5,12,7
88,5,13,2
89,5,14,10
90,5,15,4
91,5,16,6
92,5,17,5
93,5,18,3
94,5,22,1
95,5,30,1
96,6,1,38
97,6,2,71
98,6,3,94
99,6,4,105
100,6,5,97
101,6,6,91
102,6,7,63
103,6,8,33
104,6,9,34
105,6,10,23
106,6,11,13
107,6,12,12
108,6,13,9
109,6,14,8
110,6,15,9
111,6,16,3
112,6,17,4
113,6,18,3
114,6,19,1
115,6,20,1
116,6,22,1
117,7,1,23
118,7,2,53
119,7,3,69
120,7,4,80
121,7,5,110
122,7,6,97
123,7,7,82
