resultId,year,status,country
1,2008,Finished,Australia
2,2008,Finished,Australia
3,2008,Finished,Australia
4,2008,Finished,Australia
5,2008,Finished,Australia
6,2008,Finished,Australia
7,2008,Car Fault,Australia
8,2008,Car Fault,Australia
9,2008,Accident,Australia
10,2008,Accident,Australia
11,2008,Car Fault,Australia
12,2008,Car Fault,Australia
13,2008,Car Fault,Australia
14,2008,Accident,Australia
15,2008,Car Fault,Australia
16,2008,Car Fault,Australia
17,2008,Accident,Australia
18,2008,Accident,Australia
19,2008,Accident,Australia
20,2008,Accident,Australia
21,2008,Accident,Australia
22,2008,Disqualified,Australia
23,2008,Finished,Malaysia
24,2008,Finished,Malaysia
25,2008,Finished,Malaysia
26,2008,Finished,Malaysia
27,2008,Finished,Malaysia
28,2008,Finished,Malaysia
29,2008,Finished,Malaysia
30,2008,Finished,Malaysia
31,2008,Finished,Malaysia
32,2008,Finished,Malaysia
33,2008,Finished,Malaysia
34,2008,Finished,Malaysia
35,2008,Finished,Malaysia
36,2008,Finished,Malaysia
37,2008,Finished,Malaysia
38,2008,Finished,Malaysia
39,2008,Finished,Malaysia
40,2008,Car Fault,Malaysia
41,2008,Accident,Malaysia
42,2008,Car Fault,Malaysia
43,2008,Accident,Malaysia
44,2008,Accident,Malaysia
45,2008,Finished,Bahrain
46,2008,Finished,Bahrain
47,2008,Finished,Bahrain
48,2008,Finished,Bahrain
49,2008,Finished,Bahrain
50,2008,Finished,Bahrain
51,2008,Finished,Bahrain
52,2008,Finished,Bahrain
53,2008,Finished,Bahrain
54,2008,Finished,Bahrain
55,2008,Finished,Bahrain
56,2008,Finished,Bahrain
57,2008,Finished,Bahrain
58,2008,Finished,Bahrain
59,2008,Finished,Bahrain
60,2008,Finished,Bahrain
61,2008,Finished,Bahrain
62,2008,Finished,Bahrain
63,2008,Finished,Bahrain
64,2008,Car Fault,Bahrain
65,2008,Accident,Bahrain
66,2008,Car Fault,Bahrain
67,2008,Finished,Spain
68,2008,Finished,Spain
69,2008,Finished,Spain
70,2008,Finished,Spain
71,2008,Finished,Spain
72,2008,Finished,Spain
73,2008,Finished,Spain
74,2008,Finished,Spain
75,2008,Finished,Spain
76,2008,Finished,Spain
77,2008,Finished,Spain
78,2008,Finished,Spain
79,2008,Finished,Spain
80,2008,Car Fault,Spain
81,2008,Car Fault,Spain
82,2008,Accident,Spain
83,2008,Accident,Spain
84,2008,Car Fault,Spain
85,2008,Accident,Spain
86,2008,Accident,Spain
87,2008,Accident,Spain
88,2008,Accident,Spain
89,2008,Finished,Turkey
90,2008,Finished,Turkey
91,2008,Finished,Turkey
92,2008,Finished,Turkey
93,2008,Finished,Turkey
94,2008,Finished,Turkey
95,2008,Finished,Turkey
96,2008,Finished,Turkey
97,2008,Finished,Turkey
98,2008,Finished,Turkey
99,2008,Finished,Turkey
100,2008,Finished,Turkey
101,2008,Finished,Turkey
102,2008,Finished,Turkey
103,2008,Finished,Turkey
104,2008,Finished,Turkey
105,2008,Finished,Turkey
106,2008,Car Fault,Turkey
107,2008,Accident,Turkey
108,2008,Accident,Turkey
109,2008,Finished,Monaco
110,2008,Finished,Monaco
111,2008,Finished,Monaco
112,2008,Finished,Monaco
113,2008,Finished,Monaco
114,2008,Finished,Monaco
115,2008,Finished,Monaco
116,2008,Finished,Monaco
117,2008,Finished,Monaco
118,2008,Finished,Monaco
119,2008,Finished,Monaco
120,2008,Finished,Monaco
121,2008,Finished,Monaco
122,2008,Finished,Monaco
123,2008,Accident,Monaco
124,2008,Accident,Monaco
125,2008,Accident,Monaco
126,2008,Car Fault,Monaco
127,2008,Accident,Monaco
128,2008,Accident,Monaco
129,2008,Finished,Canada
130,2008,Finished,Canada
131,2008,Finished,Canada
132,2008,Finished,Canada
133,2008,Finished,Canada
134,2008,Finished,Canada
135,2008,Finished,Canada
136,2008,Finished,Canada
137,2008,Finished,Canada
138,2008,Finished,Canada
139,2008,Finished,Canada
140,2008,Finished,Canada
141,2008,Finished,Canada
142,2008,Accident,Canada
143,2008,Accident,Canada
144,2008,Accident,Canada
145,2008,Car Fault,Canada
146,2008,Accident,Canada
147,2008,Accident,Canada
148,2008,Car Fault,Canada
149,2008,Finished,France
150,2008,Finished,France
151,2008,Finished,France
152,2008,Finished,France
153,2008,Finished,France
154,2008,Finished,France
155,2008,Finished,France
156,2008,Finished,France
157,2008,Finished,France
158,2008,Finished,France
159,2008,Finished,France
160,2008,Finished,France
161,2008,Finished,France
162,2008,Finished,France
163,2008,Finished,France
164,2008,Finished,France
165,2008,Finished,France
166,2008,Finished,France
167,2008,Finished,France
168,2008,Accident,France
169,2008,Finished,UK
170,2008,Finished,UK
171,2008,Finished,UK
172,2008,Finished,UK
173,2008,Finished,UK
174,2008,Finished,UK
175,2008,Finished,UK
176,2008,Finished,UK
177,2008,Finished,UK
178,2008,Finished,UK
179,2008,Finished,UK
180,2008,Finished,UK
181,2008,Finished,UK
182,2008,Accident,UK
183,2008,Accident,UK
184,2008,Accident,UK
185,2008,Accident,UK
186,2008,Accident,UK
187,2008,Accident,UK
188,2008,Accident,UK
189,2008,Finished,Germany
190,2008,Finished,Germany
191,2008,Finished,Germany
192,2008,Finished,Germany
193,2008,Finished,Germany
194,2008,Finished,Germany
195,2008,Finished,Germany
196,2008,Finished,Germany
197,2008,Finished,Germany
198,2008,Finished,Germany
199,2008,Finished,Germany
200,2008,Finished,Germany
201,2008,Finished,Germany
202,2008,Finished,Germany
203,2008,Finished,Germany
204,2008,Finished,Germany
205,2008,Finished,Germany
206,2008,Accident,Germany
207,2008,Car Fault,Germany
208,2008,Car Fault,Germany
209,2008,Finished,Hungary
210,2008,Finished,Hungary
211,2008,Finished,Hungary
212,2008,Finished,Hungary
213,2008,Finished,Hungary
214,2008,Finished,Hungary
215,2008,Finished,Hungary
216,2008,Finished,Hungary
217,2008,Finished,Hungary
218,2008,Finished,Hungary
219,2008,Finished,Hungary
220,2008,Finished,Hungary
221,2008,Finished,Hungary
222,2008,Finished,Hungary
223,2008,Finished,Hungary
224,2008,Finished,Hungary
225,2008,Car Fault,Hungary
226,2008,Finished,Hungary
227,2008,Car Fault,Hungary
228,2008,Car Fault,Hungary
229,2008,Finished,Spain
230,2008,Finished,Spain
231,2008,Finished,Spain
232,2008,Finished,Spain
233,2008,Finished,Spain
234,2008,Finished,Spain
235,2008,Finished,Spain
236,2008,Finished,Spain
237,2008,Finished,Spain
238,2008,Finished,Spain
239,2008,Finished,Spain
240,2008,Finished,Spain
241,2008,Finished,Spain
242,2008,Finished,Spain
243,2008,Finished,Spain
244,2008,Finished,Spain
245,2008,Finished,Spain
246,2008,Car Fault,Spain
247,2008,Accident,Spain
248,2008,Accident,Spain
249,2008,Finished,Belgium
250,2008,Finished,Belgium
251,2008,Finished,Belgium
252,2008,Finished,Belgium
253,2008,Finished,Belgium
254,2008,Finished,Belgium
255,2008,Finished,Belgium
256,2008,Finished,Belgium
257,2008,Finished,Belgium
258,2008,Car Fault,Belgium
259,2008,Finished,Belgium
260,2008,Finished,Belgium
261,2008,Finished,Belgium
262,2008,Finished,Belgium
263,2008,Finished,Belgium
264,2008,Finished,Belgium
265,2008,Finished,Belgium
266,2008,Accident,Belgium
267,2008,Car Fault,Belgium
268,2008,Accident,Belgium
269,2008,Finished,Italy
270,2008,Finished,Italy
271,2008,Finished,Italy
272,2008,Finished,Italy
273,2008,Finished,Italy
274,2008,Finished,Italy
275,2008,Finished,Italy
276,2008,Finished,Italy
277,2008,Finished,Italy
278,2008,Finished,Italy
279,2008,Finished,Italy
280,2008,Finished,Italy
281,2008,Finished,Italy
282,2008,Finished,Italy
283,2008,Finished,Italy
284,2008,Finished,Italy
285,2008,Finished,Italy
286,2008,Finished,Italy
287,2008,Finished,Italy
288,2008,Accident,Italy
289,2008,Finished,Singapore
290,2008,Finished,Singapore
291,2008,Finished,Singapore
292,2008,Finished,Singapore
293,2008,Finished,Singapore
294,2008,Finished,Singapore
295,2008,Finished,Singapore
296,2008,Finished,Singapore
297,2008,Finished,Singapore
298,2008,Finished,Singapore
299,2008,Finished,Singapore
300,2008,Finished,Singapore
301,2008,Finished,Singapore
302,2008,Finished,Singapore
303,2008,Accident,Singapore
304,2008,Car Fault,Singapore
305,2008,Accident,Singapore
306,2008,Car Fault,Singapore
307,2008,Car Fault,Singapore
308,2008,Accident,Singapore
309,2008,Finished,Japan
310,2008,Finished,Japan
311,2008,Finished,Japan
312,2008,Finished,Japan
313,2008,Finished,Japan
314,2008,Finished,Japan
315,2008,Finished,Japan
316,2008,Finished,Japan
317,2008,Finished,Japan
318,2008,Finished,Japan
319,2008,Finished,Japan
320,2008,Finished,Japan
321,2008,Finished,Japan
322,2008,Finished,Japan
323,2008,Finished,Japan
324,2008,Car Fault,Japan
325,2008,Car Fault,Japan
326,2008,Car Fault,Japan
327,2008,Car Fault,Japan
328,2008,Accident,Japan
329,2008,Finished,China
330,2008,Finished,China
331,2008,Finished,China
332,2008,Finished,China
333,2008,Finished,China
334,2008,Finished,China
335,2008,Finished,China
336,2008,Finished,China
337,2008,Finished,China
338,2008,Finished,China
339,2008,Finished,China
340,2008,Finished,China
341,2008,Finished,China
342,2008,Finished,China
343,2008,Finished,China
344,2008,Finished,China
345,2008,Finished,China
346,2008,Car Fault,China
347,2008,Car Fault,China
348,2008,Accident,China
349,2008,Finished,Brazil
350,2008,Finished,Brazil
351,2008,Finished,Brazil
352,2008,Finished,Brazil
353,2008,Finished,Brazil
354,2008,Finished,Brazil
355,2008,Finished,Brazil
356,2008,Finished,Brazil
357,2008,Finished,Brazil
358,2008,Finished,Brazil
359,2008,Finished,Brazil
360,2008,Finished,Brazil
361,2008,Finished,Brazil
362,2008,Finished,Brazil
363,2008,Finished,Brazil
364,2008,Finished,Brazil
365,2008,Finished,Brazil
366,2008,Finished,Brazil
367,2008,Accident,Brazil
368,2008,Accident,Brazil
369,2007,Finished,Australia
370,2007,Finished,Australia
371,2007,Finished,Australia
372,2007,Finished,Australia
373,2007,Finished,Australia
374,2007,Finished,Australia
375,2007,Finished,Australia
376,2007,Finished,Australia
377,2007,Finished,Australia
378,2007,Finished,Australia
379,2007,Finished,Australia
380,2007,Finished,Australia
381,2007,Finished,Australia
382,2007,Finished,Australia
383,2007,Finished,Australia
384,2007,Finished,Australia
385,2007,Finished,Australia
386,2007,Accident,Australia
387,2007,Accident,Australia
388,2007,Car Fault,Australia
389,2007,Car Fault,Australia
390,2007,Accident,Australia
391,2007,Finished,Malaysia
392,2007,Finished,Malaysia
393,2007,Finished,Malaysia
394,2007,Finished,Malaysia
395,2007,Finished,Malaysia
396,2007,Finished,Malaysia
397,2007,Finished,Malaysia
398,2007,Finished,Malaysia
399,2007,Finished,Malaysia
400,2007,Finished,Malaysia
401,2007,Finished,Malaysia
402,2007,Finished,Malaysia
403,2007,Finished,Malaysia
404,2007,Finished,Malaysia
405,2007,Finished,Malaysia
406,2007,Finished,Malaysia
407,2007,Finished,Malaysia
408,2007,Finished,Malaysia
409,2007,Car Fault,Malaysia
410,2007,Car Fault,Malaysia
411,2007,Car Fault,Malaysia
412,2007,Accident,Malaysia
413,2007,Finished,Bahrain
