year,status,resultId
1950,Accident,15
1950,Car Fault,62
1950,Finished,80
1950,Other,3
1951,Accident,10
1951,Car Fault,76
1951,Finished,90
1951,Other,3
1952,Accident,6
1952,Car Fault,73
1952,Disqualified,1
1952,Finished,115
1952,Other,20
1953,Accident,17
1953,Car Fault,103
1953,Finished,117
1953,Other,9
1954,Accident,18
1954,Car Fault,88
1954,Disqualified,2
1954,Finished,109
1954,Other,13
1955,Accident,19
1955,Car Fault,67
1955,Finished,84
1955,Other,10
1956,Accident,17
1956,Car Fault,74
1956,Disqualified,1
1956,Finished,93
1956,Other,5
1957,Accident,17
1957,Car Fault,59
1957,Finished,89
1957,Other,6
1958,Accident,28
1958,Car Fault,83
1958,Disqualified,1
1958,Finished,113
1958,Other,16
1959,Accident,19
1959,Car Fault,65
1959,Disqualified,1
1959,Finished,94
1959,Other,16
1960,Accident,17
1960,Car Fault,81
1960,Disqualified,2
1960,Finished,110
1960,Other,13
1961,Accident,12
1961,Car Fault,65
1961,Disqualified,2
1961,Finished,108
1961,Other,33
1962,Accident,16
1962,Car Fault,56
1962,Finished,101
1962,Other,50
1963,Accident,15
1963,Car Fault,84
1963,Disqualified,1
1963,Finished,100
1963,Other,54
1964,Accident,9
1964,Car Fault,82
1964,Disqualified,1
1964,Finished,99
1964,Other,16
1965,Accident,4
1965,Car Fault,75
1965,Finished,106
1965,Other,20
1966,Accident,13
1966,Car Fault,81
1966,Disqualified,1
1966,Finished,65
1966,Other,6
1967,Accident,8
1967,Car Fault,98
1967,Disqualified,1
1967,Finished,93
1967,Other,5
1968,Accident,24
1968,Car Fault,111
1968,Finished,92
1968,Other,6
1969,Accident,11
1969,Car Fault,79
1969,Disqualified,1
1969,Finished,84
1969,Other,2
1970,Accident,11
1970,Car Fault,127
1970,Finished,124
1970,Other,32
1971,Accident,21
1971,Car Fault,98
1971,Disqualified,4
1971,Finished,134
1971,Other,6
1972,Accident,29
1972,Car Fault,107
1972,Disqualified,2
1972,Finished,166
1972,Other,5
1973,Accident,39
1973,Car Fault,126
1973,Disqualified,1
1973,Finished,187
1973,Other,4
1974,Accident,38
1974,Car Fault,142
1974,Disqualified,4
1974,Finished,200
1974,Other,52
1975,Accident,58
1975,Car Fault,105
1975,Disqualified,1
1975,Finished,176
1975,Other,23
1976,Accident,53
1976,Car Fault,119
1976,Disqualified,1
1976,Finished,218
1976,Other,43
1977,Accident,70
1977,Car Fault,129
1977,Disqualified,2
1977,Finished,202
1977,Other,74
1978,Accident,61
1978,Car Fault,114
1978,Disqualified,5
1978,Finished,208
1978,Other,83
1979,Accident,50
1979,Car Fault,138
1979,Disqualified,2
1979,Finished,166
1979,Other,47
1980,Accident,45
1980,Car Fault,126
1980,Finished,163
1980,Other,49
1981,Accident,66
1981,Car Fault,116
1981,Disqualified,2
1981,Finished,171
1981,Other,94
1982,Accident,74
1982,Car Fault,141
1982,Disqualified,5
1982,Finished,175
1982,Other,70
1983,Accident,40
1983,Car Fault,155
1983,Disqualified,6
1983,Finished,182
1983,Other,41
1984,Accident,54
1984,Car Fault,188
1984,Disqualified,22
1984,Finished,148
1984,Other,18
1985,Accident,50
1985,Car Fault,175
1985,Disqualified,2
1985,Finished,168
1985,Other,11
1986,Accident,37
1986,Car Fault,205
1986,Disqualified,1
1986,Finished,163
1986,Other,6
1987,Accident,36
1987,Car Fault,194
1987,Disqualified,3
1987,Finished,176
1987,Other,10
1988,Accident,37
