year,circuitRef,name_y,grand_prix,fastestLapSpeed,driverId,count
2004,albert_park,Albert Park Grand Prix Circuit,Australia,226.933,30,17
2005,albert_park,Albert Park Grand Prix Circuit,Australia,222.807,4,17
2006,albert_park,Albert Park Grand Prix Circuit,Australia,221.869,8,17
2007,albert_park,Albert Park Grand Prix Circuit,Australia,223.978,8,17
2008,albert_park,Albert Park Grand Prix Circuit,Australia,218.385,5,17
2009,albert_park,Albert Park Grand Prix Circuit,Australia,217.668,3,17
2010,albert_park,Albert Park Grand Prix Circuit,Australia,216.061,17,17
2011,albert_park,Albert Park Grand Prix Circuit,Australia,214.631,13,17
2012,albert_park,Albert Park Grand Prix Circuit,Australia,214.053,18,17
2013,albert_park,Albert Park Grand Prix Circuit,Australia,213.845,8,17
2014,albert_park,Albert Park Grand Prix Circuit,Australia,206.436,3,17
2015,albert_park,Albert Park Grand Prix Circuit,Australia,209.915,1,17
2016,albert_park,Albert Park Grand Prix Circuit,Australia,214.51,817,17
2017,albert_park,Albert Park Grand Prix Circuit,Australia,220.605,8,17
2018,albert_park,Albert Park Grand Prix Circuit,Australia,222.128,817,17
2019,albert_park,Albert Park Grand Prix Circuit,Australia,223.075,822,17
2022,albert_park,Albert Park Grand Prix Circuit,Australia,236.74,844,17
2004,bahrain,Bahrain International Circuit,Bahrain,216.074,30,18
2005,bahrain,Bahrain International Circuit,Bahrain,213.054,37,18
2006,bahrain,Bahrain International Circuit,Bahrain,210.838,3,18
2007,bahrain,Bahrain International Circuit,Bahrain,207.12,13,18
2008,bahrain,Bahrain International Circuit,Bahrain,209.062,5,18
2009,bahrain,Bahrain International Circuit,Bahrain,206.049,15,18
2010,bahrain,Bahrain International Circuit,Bahrain,191.706,4,18
2012,bahrain,Bahrain International Circuit,Bahrain,202.151,20,18
2013,bahrain,Bahrain International Circuit,Bahrain,200.938,20,18
2014,bahrain,Bahrain International Circuit,Bahrain,200.816,3,18
2015,bahrain,Bahrain International Circuit,Bahrain,202.294,8,18
2016,bahrain,Bahrain International Circuit,Bahrain,206.21,3,18
2017,bahrain,Bahrain International Circuit,Bahrain,209.952,1,18
2018,bahrain,Bahrain International Circuit,Bahrain,207.842,822,18
2019,bahrain,Bahrain International Circuit,Bahrain,208.575,844,18
2020,bahrain,Bahrain International Circuit,Bahrain,230.214,847,18
2021,bahrain,Bahrain International Circuit,Bahrain,211.566,822,18
2022,bahrain,Bahrain International Circuit,Bahrain,206.018,844,18
2004,spa,Circuit de Spa-Francorchamps,Belgium,238.931,8,17
2005,spa,Circuit de Spa-Francorchamps,Belgium,225.329,23,17
2007,spa,Circuit de Spa-Francorchamps,Belgium,233.388,13,17
2008,spa,Circuit de Spa-Francorchamps,Belgium,233.618,8,17
2009,spa,Circuit de Spa-Francorchamps,Belgium,235.07,20,17
2010,spa,Circuit de Spa-Francorchamps,Belgium,231.178,1,17
2011,spa,Circuit de Spa-Francorchamps,Belgium,229.465,17,17
2012,spa,Circuit de Spa-Francorchamps,Belgium,223.488,811,17
2013,spa,Circuit de Spa-Francorchamps,Belgium,227.657,20,17
2014,spa,Circuit de Spa-Francorchamps,Belgium,228.161,3,17
2015,spa,Circuit de Spa-Francorchamps,Belgium,224.295,3,17
2016,spa,Circuit de Spa-Francorchamps,Belgium,225.969,1,17
2017,spa,Circuit de Spa-Francorchamps,Belgium,236.583,20,17
2018,spa,Circuit de Spa-Francorchamps,Belgium,237.231,822,17
2019,spa,Circuit de Spa-Francorchamps,Belgium,236.957,20,17
2020,spa,Circuit de Spa-Francorchamps,Belgium,234.589,817,17
2022,spa,Circuit de Spa-Francorchamps,Belgium,230.575,830,17
2004,interlagos,Autódromo José Carlos Pace,Brazil,217.038,31,18
2005,interlagos,Autódromo José Carlos Pace,Brazil,214.651,8,18
2006,interlagos,Autódromo José Carlos Pace,Brazil,214.966,30,18
2007,interlagos,Autódromo José Carlos Pace,Brazil,214.126,8,18
2008,interlagos,Autódromo José Carlos Pace,Brazil,210.377,13,18
2009,interlagos,Autódromo José Carlos Pace,Brazil,210.386,17,18
2010,interlagos,Autódromo José Carlos Pace,Brazil,210.049,1,18
2011,interlagos,Autódromo José Carlos Pace,Brazil,205.942,17,18
2012,interlagos,Autódromo José Carlos Pace,Brazil,198.701,1,18
2013,interlagos,Autódromo José Carlos Pace,Brazil,205.636,17,18
2014,interlagos,Autódromo José Carlos Pace,Brazil,210.895,1,18
2015,interlagos,Autódromo José Carlos Pace,Brazil,207.296,1,18
2016,interlagos,Autódromo José Carlos Pace,Brazil,181.846,830,18
2017,interlagos,Autódromo José Carlos Pace,Brazil,218.349,830,18
2018,interlagos,Autódromo José Carlos Pace,Brazil,219.909,822,18
2019,interlagos,Autódromo José Carlos Pace,Brazil,219.417,822,18
2021,interlagos,Autódromo José Carlos Pace,Brazil,218.453,815,18
2022,interlagos,Autódromo José Carlos Pace,Brazil,210.237,847,18
2004,villeneuve,Circuit Gilles Villeneuve,Canada,213.246,22,16
2005,villeneuve,Circuit Gilles Villeneuve,Canada,211.061,8,16
2006,villeneuve,Circuit Gilles Villeneuve,Canada,207.006,8,16
2007,villeneuve,Circuit Gilles Villeneuve,Canada,205.58,4,16
2008,villeneuve,Circuit Gilles Villeneuve,Canada,202.871,8,16
2010,villeneuve,Circuit Gilles Villeneuve,Canada,203.965,9,16
2011,villeneuve,Circuit Gilles Villeneuve,Canada,204.007,18,16
2012,villeneuve,Circuit Gilles Villeneuve,Canada,207.249,20,16
2013,villeneuve,Circuit Gilles Villeneuve,Canada,206.08,17,16
2014,villeneuve,Circuit Gilles Villeneuve,Canada,199.984,13,16
2015,villeneuve,Circuit Gilles Villeneuve,Canada,203.925,8,16
2016,villeneuve,Circuit Gilles Villeneuve,Canada,207.669,3,16
